place,latitude,longitude,display_name
Aan boord van Z.M. Brik Gier,,,
Aan boord van Z.M. Brik Zwaluw,,,
Thierhaupten,48.5637194,10.910262,"Thierhaupten, Landkreis Augsburg, Bayern, 86672, Deutschland"
Tiel,51.8874333,5.4372681,"Tiel, Gelderland, Nederland"
Trieste,45.6496485,13.7772781,"Trieste, Friuli-Venezia Giulia, 34121-34151, Italia"
Tübingen,48.5203263,9.053596,"Tübingen, Landkreis Tübingen, Baden-Württemberg, Deutschland"
Utrecht,52.0907006,5.1215634,"Utrecht, Nederland"
Velbert,51.3406713,7.0439912,"Velbert, Kreis Mettmann, Nordrhein-Westfalen, Deutschland"
Villeneuve,45.0835468,-0.6280356,"Villeneuve, Blaye, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33710, France"
Vlissingen,51.4480929,3.5697992,"Vlissingen, Zeeland, Nederland"
Voorburg,52.0703201,4.3558561,"Voorburg, Leidschendam-Voorburg, Zuid-Holland, Nederland"
Waardenburg,51.8313424,5.2575135,"Waardenburg, West Betuwe, Gelderland, Nederland"
Wassenaar,52.1428381,4.4010893,"Wassenaar, Zuid-Holland, Nederland"
Weimar,50.9793301,11.3297921,"Weimar, Thüringen, Deutschland"
Westervoort,51.9627099,5.9672548,"Westervoort, Gelderland, Nederland"
Winterswijk,51.9680214,6.7378723,"Winterswijk, Gelderland, Nederland"
Wittenberg,51.8666527,12.646761,"Wittenberg, Sachsen-Anhalt, Deutschland"
Zaandam,52.4424926,4.8298607,"Zaandam, Zaanstad, Noord-Holland, Nederland"
Zeist,52.0892832,5.2276307,"Zeist, Utrecht, Nederland"
Zierikzee,51.6497688,3.9208365,"Zierikzee, Schouwen-Duiveland, Zeeland, Nederland"
 [zonder plaats],51.6298352,2.9222211,Lodewijkbank
zonder plaats,51.6298352,2.9222211,Lodewijkbank
Zonder plaats,51.6298352,2.9222211,Lodewijkbank
Zutphen,52.1396933,6.194772,"Zutphen, Gelderland, Nederland"
Zwolle,52.5145653,6.0977204,"Zwolle, Overijssel, Nederland"
